LocationGeoid,PeerGeoid1,PeerGeoid2,PeerGeoid3,PeerGeoid4,PeerGeoid5,PeerGeoid6,PeerGeoid7,PeerGeoid8,PeerGeoid9,PeerGeoid10,PeerGeoid11,PeerGeoid12,PeerGeoid13,PeerGeoid14,PeerGeoid15,PeerGeoid16
16000US3710740,16000US4856348,16000US4548535,16000US2511000,16000US2680700,16000US5101000,16000US1367284,16000US0669088,16000US0672016,16000US2562535,16000US0427400,16000US0670000,16000US1702154,16000US0678120,16000US4858016,16000US0636000,16000US0617918
16000US4856348,16000US4548535,16000US2511000,16000US2680700,16000US5101000,16000US1367284,16000US0669088,16000US0672016,16000US2562535,16000US0427400,16000US0670000,16000US1702154,16000US0678120,16000US4858016,16000US0636000,16000US0617918,16000US4967440
16000US4548535,16000US2511000,16000US2680700,16000US5101000,16000US1367284,16000US0669088,16000US0672016,16000US2562535,16000US0427400,16000US0670000,16000US1702154,16000US0678120,16000US4858016,16000US0636000,16000US0617918,16000US4967440,16000US2669035
16000US2511000,16000US2680700,16000US5101000,16000US1367284,16000US0669088,16000US0672016,16000US2562535,16000US0427400,16000US0670000,16000US1702154,16000US0678120,16000US4858016,16000US0636000,16000US0617918,16000US4967440,16000US2669035,16000US0622020
16000US2680700,16000US5101000,16000US1367284,16000US0669088,16000US0672016,16000US2562535,16000US0427400,16000US0670000,16000US1702154,16000US0678120,16000US4858016,16000US0636000,16000US0617918,16000US4967440,16000US2669035,16000US0622020,16000US0680000
16000US5101000,16000US1367284,16000US0669088,16000US0672016,16000US2562535,16000US0427400,16000US0670000,16000US1702154,16000US0678120,16000US4858016,16000US0636000,16000US0617918,16000US4967440,16000US2669035,16000US0622020,16000US0680000,16000US0639892
16000US1367284,16000US0669088,16000US0672016,16000US2562535,16000US0427400,16000US0670000,16000US1702154,16000US0678120,16000US4858016,16000US0636000,16000US0617918,16000US4967440,16000US2669035,16000US0622020,16000US0680000,16000US0639892,16000US4845744
16000US0669088,16000US0672016,16000US2562535,16000US0427400,16000US0670000,16000US1702154,16000US0678120,16000US4858016,16000US0636000,16000US0617918,16000US4967440,16000US2669035,16000US0622020,16000US0680000,16000US0639892,16000US4845744,16000US0973000
16000US0672016,16000US2562535,16000US0427400,16000US0670000,16000US1702154,16000US0678120,16000US4858016,16000US0636000,16000US0617918,16000US4967440,16000US2669035,16000US0622020,16000US0680000,16000US0639892,16000US4845744,16000US0973000,16000US5363000
16000US2562535,16000US0427400,16000US0670000,16000US1702154,16000US0678120,16000US4858016,16000US0636000,16000US0617918,16000US4967440,16000US2669035,16000US0622020,16000US0680000,16000US0639892,16000US4845744,16000US0973000,16000US5363000,16000US0680238
16000US0427400,16000US0670000,16000US1702154,16000US0678120,16000US4858016,16000US0636000,16000US0617918,16000US4967440,16000US2669035,16000US0622020,16000US0680000,16000US0639892,16000US4845744,16000US0973000,16000US5363000,16000US0680238,16000US0653980
16000US0670000,16000US1702154,16000US0678120,16000US4858016,16000US0636000,16000US0617918,16000US4967440,16000US2669035,16000US0622020,16000US0680000,16000US0639892,16000US4845744,16000US0973000,16000US5363000,16000US0680238,16000US0653980,16000US1707133
16000US1702154,16000US0678120,16000US4858016,16000US0636000,16000US0617918,16000US4967440,16000US2669035,16000US0622020,16000US0680000,16000US0639892,16000US4845744,16000US0973000,16000US5363000,16000US0680238,16000US0653980,16000US1707133,16000US0659451
16000US0678120,16000US4858016,16000US0636000,16000US0617918,16000US4967440,16000US2669035,16000US0622020,16000US0680000,16000US0639892,16000US4845744,16000US0973000,16000US5363000,16000US0680238,16000US0653980,16000US1707133,16000US0659451,16000US0650076
16000US4858016,16000US0636000,16000US0617918,16000US4967440,16000US2669035,16000US0622020,16000US0680000,16000US0639892,16000US4845744,16000US0973000,16000US5363000,16000US0680238,16000US0653980,16000US1707133,16000US0659451,16000US0650076,16000US2052575
16000US0636000,16000US0617918,16000US4967440,16000US2669035,16000US0622020,16000US0680000,16000US0639892,16000US4845744,16000US0973000,16000US5363000,16000US0680238,16000US0653980,16000US1707133,16000US0659451,16000US0650076,16000US2052575,16000US2954074
16000US0617918,16000US4967440,16000US2669035,16000US0622020,16000US0680000,16000US0639892,16000US4845744,16000US0973000,16000US5363000,16000US0680238,16000US0653980,16000US1707133,16000US0659451,16000US0650076,16000US2052575,16000US2954074,16000US2941348
16000US4967440,16000US2669035,16000US0622020,16000US0680000,16000US0639892,16000US4845744,16000US0973000,16000US5363000,16000US0680238,16000US0653980,16000US1707133,16000US0659451,16000US0650076,16000US2052575,16000US2954074,16000US2941348,16000US0616000
16000US2669035,16000US0622020,16000US0680000,16000US0639892,16000US4845744,16000US0973000,16000US5363000,16000US0680238,16000US0653980,16000US1707133,16000US0659451,16000US0650076,16000US2052575,16000US2954074,16000US2941348,16000US0616000,16000US0135896
16000US0622020,16000US0680000,16000US0639892,16000US4845744,16000US0973000,16000US5363000,16000US0680238,16000US0653980,16000US1707133,16000US0659451,16000US0650076,16000US2052575,16000US2954074,16000US2941348,16000US0616000,16000US0135896,16000US0662938
16000US0680000,16000US0639892,16000US4845744,16000US0973000,16000US5363000,16000US0680238,16000US0653980,16000US1707133,16000US0659451,16000US0650076,16000US2052575,16000US2954074,16000US2941348,16000US0616000,16000US0135896,16000US0662938,16000US0465000
16000US0639892,16000US4845744,16000US0973000,16000US5363000,16000US0680238,16000US0653980,16000US1707133,16000US0659451,16000US0650076,16000US2052575,16000US2954074,16000US2941348,16000US0616000,16000US0135896,16000US0662938,16000US0465000,16000US4848804
16000US4845744,16000US0973000,16000US5363000,16000US0680238,16000US0653980,16000US1707133,16000US0659451,16000US0650076,16000US2052575,16000US2954074,16000US2941348,16000US0616000,16000US0135896,16000US0662938,16000US0465000,16000US4848804,16000US0681554
16000US0973000,16000US5363000,16000US0680238,16000US0653980,16000US1707133,16000US0659451,16000US0650076,16000US2052575,16000US2954074,16000US2941348,16000US0616000,16000US0135896,16000US0662938,16000US0465000,16000US4848804,16000US0681554,16000US0633000
16000US5363000,16000US0680238,16000US0653980,16000US1707133,16000US0659451,16000US0650076,16000US2052575,16000US2954074,16000US2941348,16000US0616000,16000US0135896,16000US0662938,16000US0465000,16000US4848804,16000US0681554,16000US0633000,16000US2053775
16000US0680238,16000US0653980,16000US1707133,16000US0659451,16000US0650076,16000US2052575,16000US2954074,16000US2941348,16000US0616000,16000US0135896,16000US0662938,16000US0465000,16000US4848804,16000US0681554,16000US0633000,16000US2053775,16000US1150000
16000US0653980,16000US1707133,16000US0659451,16000US0650076,16000US2052575,16000US2954074,16000US2941348,16000US0616000,16000US0135896,16000US0662938,16000US0465000,16000US4848804,16000US0681554,16000US0633000,16000US2053775,16000US1150000,16000US0955990
16000US1707133,16000US0659451,16000US0650076,16000US2052575,16000US2954074,16000US2941348,16000US0616000,16000US0135896,16000US0662938,16000US0465000,16000US4848804,16000US0681554,16000US0633000,16000US2053775,16000US1150000,16000US0955990,16000US4861796
16000US0659451,16000US0650076,16000US2052575,16000US2954074,16000US2941348,16000US0616000,16000US0135896,16000US0662938,16000US0465000,16000US4848804,16000US0681554,16000US0633000,16000US2053775,16000US1150000,16000US0955990,16000US4861796,16000US0606000
16000US0650076,16000US2052575,16000US2954074,16000US2941348,16000US0616000,16000US0135896,16000US0662938,16000US0465000,16000US4848804,16000US0681554,16000US0633000,16000US2053775,16000US1150000,16000US0955990,16000US4861796,16000US0606000,16000US0203000
16000US2052575,16000US2954074,16000US2941348,16000US0616000,16000US0135896,16000US0662938,16000US0465000,16000US4848804,16000US0681554,16000US0633000,16000US2053775,16000US1150000,16000US0955990,16000US4861796,16000US0606000,16000US0203000,16000US0803455
16000US2954074,16000US2941348,16000US0616000,16000US0135896,16000US0662938,16000US0465000,16000US4848804,16000US0681554,16000US0633000,16000US2053775,16000US1150000,16000US0955990,16000US4861796,16000US0606000,16000US0203000,16000US0803455,16000US0680854
